transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,cumulative_portfolio_value,date_obj,date,customer_key,account_type,avg_trade_size_baseline,stock_key,company_name,liquidity_tier,sector,industry,date_key,day,month,month_name,quarter,year,day_of_week,day_name,is_weekend,is_holiday,stock_price
19,2023-01-02,4955,STK012,BUY,249,294.0,53786.7,2023-01-02,2023-01-02,4955,Retail,171.5073063101831,12,STK012 Corp,High,Technology,Hardware,20230102,2,1,January,1,2023,1,Monday,False,False,30.01933522766273
20,2023-01-02,2988,STK012,BUY,244,244.0,7324.72,2023-01-02,2023-01-02,2988,Retail,98.61082806503256,12,STK012 Corp,High,Technology,Hardware,20230102,2,1,January,1,2023,1,Monday,False,False,30.01933522766273
21,2023-01-02,4416,STK013,BUY,85,85.0,13476.46,2023-01-02,2023-01-02,4416,Retail,85.56823362195402,13,STK013 Corp,Mid,Energy,Utilities,20230102,2,1,January,1,2023,1,Monday,False,False,158.54653403553775
22,2023-01-02,4946,STK013,BUY,144,144.0,22830.7,2023-01-02,2023-01-02,4946,Retail,176.04792684394732,13,STK013 Corp,Mid,Energy,Utilities,20230102,2,1,January,1,2023,1,Monday,False,False,158.54653403553775
23,2023-01-02,3938,STK018,BUY,80,136.33,39921.02,2023-01-02,2023-01-02,3938,Retail,139.96661370427694,18,STK018 Corp,Mid,Technology,Software,20230102,2,1,January,1,2023,1,Monday,False,False,105.07621768493824
24,2023-01-02,3394,STK018,BUY,70,70.0,7355.34,2023-01-02,2023-01-02,3394,Institutional,65.87831641805185,18,STK018 Corp,Mid,Technology,Software,20230102,2,1,January,1,2023,1,Monday,False,False,105.07621768493824
25,2023-01-02,2319,STK020,BUY,33,33.0,3199.78,2023-01-02,2023-01-02,2319,Retail,190.99553390308432,20,STK020 Corp,Mid,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,96.96292498026584
26,2023-01-03,653,STK006,BUY,870,870.0,114040.85,2023-01-03,2023-01-03,653,Retail,159.13431013332587,6,STK006 Corp,High,Energy,Oil & Gas,20230103,3,1,January,1,2023,2,Tuesday,False,False,131.08143877163977
27,2023-01-03,3649,STK006,BUY,207,207.0,27133.86,2023-01-03,2023-01-03,3649,Retail,109.58132287159604,6,STK006 Corp,High,Energy,Oil & Gas,20230103,3,1,January,1,2023,2,Tuesday,False,False,131.08143877163977
28,2023-01-03,1816,STK006,BUY,97,97.0,12714.9,2023-01-03,2023-01-03,1816,Retail,45.54061938554912,6,STK006 Corp,High,Energy,Oil & Gas,20230103,3,1,January,1,2023,2,Tuesday,False,False,131.08143877163977
29,2023-01-03,1513,STK006,SELL,28,77.67,23201.41,2023-01-03,2023-01-03,1513,Retail,67.17698562298614,6,STK006 Corp,High,Energy,Oil & Gas,20230103,3,1,January,1,2023,2,Tuesday,False,False,131.08143877163977
31,2023-01-03,4716,STK009,BUY,83,83.0,15657.31,2023-01-03,2023-01-03,4716,Retail,121.20678031273908,9,STK009 Corp,High,Technology,Hardware,20230103,3,1,January,1,2023,2,Tuesday,False,False,188.6422598715461
33,2023-01-03,3588,STK012,BUY,113,113.0,3319.82,2023-01-03,2023-01-03,3588,Retail,89.65649662061958,12,STK012 Corp,High,Technology,Hardware,20230103,3,1,January,1,2023,2,Tuesday,False,False,29.37891820580475
35,2023-01-03,4747,STK013,BUY,73,235.33,133400.08,2023-01-03,2023-01-03,4747,Retail,57.23133521042849,13,STK013 Corp,Mid,Energy,Utilities,20230103,3,1,January,1,2023,2,Tuesday,False,False,157.96263594264707
37,2023-01-03,4747,STK013,BUY,72,194.75,156462.63,2023-01-03,2023-01-03,4747,Retail,57.23133521042849,13,STK013 Corp,Mid,Energy,Utilities,20230103,3,1,January,1,2023,2,Tuesday,False,False,157.96263594264707
38,2023-01-03,4519,STK018,BUY,355,318.0,81231.08,2023-01-03,2023-01-03,4519,Institutional,108.6869726310806,18,STK018 Corp,Mid,Technology,Software,20230103,3,1,January,1,2023,2,Tuesday,False,False,105.14362866951058
39,2023-01-03,182,STK018,BUY,511,511.0,53728.39,2023-01-03,2023-01-03,182,Retail,202.31840679877135,18,STK018 Corp,Mid,Technology,Software,20230103,3,1,January,1,2023,2,Tuesday,False,False,105.14362866951058
41,2023-01-03,4526,STK020,BUY,258,258.0,24880.94,2023-01-03,2023-01-03,4526,Retail,187.80447921170705,20,STK020 Corp,Mid,Energy,Oil & Gas,20230103,3,1,January,1,2023,2,Tuesday,False,False,96.43773519163763
42,2023-01-04,182,STK006,BUY,370,440.5,103155.46,2023-01-04,2023-01-04,182,Retail,202.31840679877135,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
43,2023-01-04,4519,STK006,BUY,146,260.67,100126.72,2023-01-04,2023-01-04,4519,Institutional,108.6869726310806,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
44,2023-01-04,74,STK006,BUY,466,466.0,61646.02,2023-01-04,2023-01-04,74,Retail,138.17054491745114,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
45,2023-01-04,653,STK006,BUY,246,558.0,147632.95,2023-01-04,2023-01-04,653,Retail,159.13431013332587,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
46,2023-01-04,1513,STK006,BUY,355,147.0,70377.0,2023-01-04,2023-01-04,1513,Retail,67.17698562298614,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
47,2023-01-04,193,STK006,BUY,409,409.0,54105.63,2023-01-04,2023-01-04,193,Retail,144.2523545284706,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
48,2023-01-04,2352,STK006,BUY,288,288.0,38098.83,2023-01-04,2023-01-04,2352,Retail,62.99892933966713,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
49,2023-01-04,4747,STK006,SELL,218,197.33,132585.42,2023-01-04,2023-01-04,4747,Retail,57.23133521042849,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
50,2023-01-04,1094,STK006,BUY,823,823.0,108872.69,2023-01-04,2023-01-04,1094,Retail,202.37991155886527,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
51,2023-01-04,193,STK006,SELL,409,409.0,0.0,2023-01-04,2023-01-04,193,Retail,144.2523545284706,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
52,2023-01-04,193,STK006,BUY,200,339.33,26457.52,2023-01-04,2023-01-04,193,Retail,144.2523545284706,6,STK006 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,132.287592694745
53,2023-01-04,3961,STK007,BUY,288,288.0,53335.46,2023-01-04,2023-01-04,3961,Retail,152.28737813844415,7,STK007 Corp,Mid,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,185.19257097261692
54,2023-01-04,4150,STK008,BUY,26,26.0,3992.79,2023-01-04,2023-01-04,4150,Retail,181.7430349429274,8,STK008 Corp,High,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,153.5687720563006
55,2023-01-04,4955,STK009,BUY,469,350.0,199116.59,2023-01-04,2023-01-04,4955,Retail,171.5073063101831,9,STK009 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,199.05491264864767
56,2023-01-04,193,STK009,BUY,88,276.5,43974.35,2023-01-04,2023-01-04,193,Retail,144.2523545284706,9,STK009 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,199.05491264864767
57,2023-01-04,192,STK010,BUY,316,316.0,45653.54,2023-01-04,2023-01-04,192,Retail,133.04123175456843,10,STK010 Corp,High,Consumer,Retail,20230104,4,1,January,1,2023,3,Wednesday,False,False,144.473237172213
58,2023-01-04,3018,STK010,BUY,208,208.0,30050.43,2023-01-04,2023-01-04,3018,Retail,116.20649744775211,10,STK010 Corp,High,Consumer,Retail,20230104,4,1,January,1,2023,3,Wednesday,False,False,144.473237172213
59,2023-01-04,4647,STK011,BUY,83,83.0,5439.95,2023-01-04,2023-01-04,4647,Retail,124.62238384482984,11,STK011 Corp,Mid,Finance,Asset Management,20230104,4,1,January,1,2023,3,Wednesday,False,False,65.54159966888932
60,2023-01-04,4955,STK012,SELL,200,320.0,193449.35,2023-01-04,2023-01-04,4955,Retail,171.5073063101831,12,STK012 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,28.336210512820003
61,2023-01-04,4747,STK012,BUY,409,218.5,144174.93,2023-01-04,2023-01-04,4747,Retail,57.23133521042849,12,STK012 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,28.336210512820003
62,2023-01-04,4703,STK012,BUY,75,75.0,2125.22,2023-01-04,2023-01-04,4703,Retail,68.86295160589022,12,STK012 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,28.336210512820003
63,2023-01-04,2105,STK012,BUY,86,86.0,2436.91,2023-01-04,2023-01-04,2105,Retail,165.790473326423,12,STK012 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,28.336210512820003
64,2023-01-04,3372,STK012,BUY,114,114.0,3230.33,2023-01-04,2023-01-04,3372,Retail,176.0753934135868,12,STK012 Corp,High,Technology,Hardware,20230104,4,1,January,1,2023,3,Wednesday,False,False,28.336210512820003
65,2023-01-04,4747,STK013,SELL,18,200.27,141348.53,2023-01-04,2023-01-04,4747,Retail,57.23133521042849,13,STK013 Corp,Mid,Energy,Utilities,20230104,4,1,January,1,2023,3,Wednesday,False,False,157.0222345438498
66,2023-01-04,3588,STK016,BUY,8,60.5,3838.52,2023-01-04,2023-01-04,3588,Retail,89.65649662061958,16,STK016 Corp,Low,Energy,Renewables,20230104,4,1,January,1,2023,3,Wednesday,False,False,79.56589945219858
67,2023-01-04,3938,STK018,BUY,257,166.5,66175.14,2023-01-04,2023-01-04,3938,Retail,139.96661370427694,18,STK018 Corp,Mid,Technology,Software,20230104,4,1,January,1,2023,3,Wednesday,False,False,106.0842486565153
68,2023-01-04,1960,STK018,BUY,66,66.0,7001.56,2023-01-04,2023-01-04,1960,Retail,102.19416531840255,18,STK018 Corp,Mid,Technology,Software,20230104,4,1,January,1,2023,3,Wednesday,False,False,106.0842486565153
69,2023-01-04,1712,STK018,BUY,52,52.0,5516.38,2023-01-04,2023-01-04,1712,Institutional,131.67639127725786,18,STK018 Corp,Mid,Technology,Software,20230104,4,1,January,1,2023,3,Wednesday,False,False,106.0842486565153
70,2023-01-04,1647,STK018,BUY,28,28.0,2970.36,2023-01-04,2023-01-04,1647,Institutional,123.66528153397232,18,STK018 Corp,Mid,Technology,Software,20230104,4,1,January,1,2023,3,Wednesday,False,False,106.0842486565153
71,2023-01-04,637,STK018,BUY,84,84.0,8911.08,2023-01-04,2023-01-04,637,Retail,117.68203247907084,18,STK018 Corp,Mid,Technology,Software,20230104,4,1,January,1,2023,3,Wednesday,False,False,106.0842486565153
72,2023-01-04,3588,STK019,BUY,48,56.33,8350.34,2023-01-04,2023-01-04,3588,Retail,89.65649662061958,19,STK019 Corp,Mid,Energy,Oil & Gas,20230104,4,1,January,1,2023,3,Wednesday,False,False,93.99618400690856
73,2023-01-05,193,STK004,BUY,65,234.2,45703.74,2023-01-05,2023-01-05,193,Retail,144.2523545284706,4,STK004 Corp,Low,Finance,Asset Management,20230105,5,1,January,1,2023,4,Thursday,False,False,43.30733100228811
74,2023-01-05,3938,STK006,SELL,152,163.6,45148.3,2023-01-05,2023-01-05,3938,Retail,139.96661370427694,6,STK006 Corp,High,Energy,Oil & Gas,20230105,5,1,January,1,2023,4,Thursday,False,False,127.53432227053275
75,2023-01-05,4629,STK006,BUY,404,404.0,51523.87,2023-01-05,2023-01-05,4629,Retail,76.12024831036496,6,STK006 Corp,High,Energy,Oil & Gas,20230105,5,1,January,1,2023,4,Thursday,False,False,127.53432227053275
76,2023-01-05,1185,STK006,BUY,260,260.0,33158.92,2023-01-05,2023-01-05,1185,Institutional,104.32284505038166,6,STK006 Corp,High,Energy,Oil & Gas,20230105,5,1,January,1,2023,4,Thursday,False,False,127.53432227053275
78,2023-01-05,3339,STK007,BUY,267,267.0,50469.23,2023-01-05,2023-01-05,3339,Retail,165.6176409281128,7,STK007 Corp,Mid,Energy,Oil & Gas,20230105,5,1,January,1,2023,4,Thursday,False,False,189.0233412726004
79,2023-01-05,845,STK008,BUY,38,38.0,5914.43,2023-01-05,2023-01-05,845,Retail,64.83988963510643,8,STK008 Corp,High,Energy,Oil & Gas,20230105,5,1,January,1,2023,4,Thursday,False,False,155.64289083995064
80,2023-01-05,4747,STK012,BUY,30,186.08,140748.29,2023-01-05,2023-01-05,4747,Retail,57.23133521042849,12,STK012 Corp,High,Technology,Hardware,20230105,5,1,January,1,2023,4,Thursday,False,False,27.706729626787496
82,2023-01-05,3588,STK012,SELL,83,63.0,5947.18,2023-01-05,2023-01-05,3588,Retail,89.65649662061958,12,STK012 Corp,High,Technology,Hardware,20230105,5,1,January,1,2023,4,Thursday,False,False,27.706729626787496
83,2023-01-05,4955,STK012,BUY,68,245.29,190804.36,2023-01-05,2023-01-05,4955,Retail,171.5073063101831,12,STK012 Corp,High,Technology,Hardware,20230105,5,1,January,1,2023,4,Thursday,False,False,27.706729626787496
84,2023-01-05,1494,STK012,BUY,498,498.0,13797.95,2023-01-05,2023-01-05,1494,Retail,200.3242943455968,12,STK012 Corp,High,Technology,Hardware,20230105,5,1,January,1,2023,4,Thursday,False,False,27.706729626787496
85,2023-01-05,3498,STK012,BUY,125,125.0,3463.34,2023-01-05,2023-01-05,3498,Retail,109.32247402936837,12,STK012 Corp,High,Technology,Hardware,20230105,5,1,January,1,2023,4,Thursday,False,False,27.706729626787496
86,2023-01-05,4747,STK012,BUY,240,190.23,147397.91,2023-01-05,2023-01-05,4747,Retail,57.23133521042849,12,STK012 Corp,High,Technology,Hardware,20230105,5,1,January,1,2023,4,Thursday,False,False,27.706729626787496
87,2023-01-05,4519,STK013,BUY,353,283.75,153981.42,2023-01-05,2023-01-05,4519,Institutional,108.6869726310806,13,STK013 Corp,Mid,Energy,Utilities,20230105,5,1,January,1,2023,4,Thursday,False,False,154.66045973053974
88,2023-01-05,4747,STK018,BUY,86,182.79,156368.7,2023-01-05,2023-01-05,4747,Retail,57.23133521042849,18,STK018 Corp,Mid,Technology,Software,20230105,5,1,January,1,2023,4,Thursday,False,False,104.3115904006844
90,2023-01-05,3119,STK018,BUY,235,235.0,24513.22,2023-01-05,2023-01-05,3119,Retail,214.647103105682,18,STK018 Corp,Mid,Technology,Software,20230105,5,1,January,1,2023,4,Thursday,False,False,104.3115904006844
91,2023-01-05,3938,STK018,BUY,191,168.17,65071.82,2023-01-05,2023-01-05,3938,Retail,139.96661370427694,18,STK018 Corp,Mid,Technology,Software,20230105,5,1,January,1,2023,4,Thursday,False,False,104.3115904006844
92,2023-01-05,1407,STK018,BUY,60,60.0,6258.7,2023-01-05,2023-01-05,1407,Retail,90.13163180914214,18,STK018 Corp,Mid,Technology,Software,20230105,5,1,January,1,2023,4,Thursday,False,False,104.3115904006844
94,2023-01-06,295,STK006,BUY,113,113.0,14165.31,2023-01-06,2023-01-06,295,Retail,94.55625658656987,6,STK006 Corp,High,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,125.3567361879294
95,2023-01-06,4629,STK006,SELL,175,289.5,28706.69,2023-01-06,2023-01-06,4629,Retail,76.12024831036496,6,STK006 Corp,High,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,125.3567361879294
96,2023-01-06,4955,STK006,BUY,145,232.75,212516.47,2023-01-06,2023-01-06,4955,Retail,171.5073063101831,6,STK006 Corp,High,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,125.3567361879294
98,2023-01-06,1185,STK006,BUY,675,467.5,117208.55,2023-01-06,2023-01-06,1185,Institutional,104.32284505038166,6,STK006 Corp,High,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,125.3567361879294
99,2023-01-06,2034,STK006,BUY,99,99.0,12410.32,2023-01-06,2023-01-06,2034,Retail,217.2405449666886,6,STK006 Corp,High,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,125.3567361879294
100,2023-01-06,4493,STK006,BUY,62,62.0,7772.12,2023-01-06,2023-01-06,4493,Retail,124.73664500380464,6,STK006 Corp,High,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,125.3567361879294
101,2023-01-06,4716,STK009,SELL,83,83.0,0.0,2023-01-06,2023-01-06,4716,Retail,121.20678031273908,9,STK009 Corp,High,Technology,Hardware,20230106,6,1,January,1,2023,5,Friday,False,False,203.06815451428216
103,2023-01-06,4955,STK010,BUY,180,226.89,239951.65,2023-01-06,2023-01-06,4955,Retail,171.5073063101831,10,STK010 Corp,High,Consumer,Retail,20230106,6,1,January,1,2023,5,Friday,False,False,152.41768370661663
104,2023-01-06,1513,STK010,BUY,27,123.0,70805.06,2023-01-06,2023-01-06,1513,Retail,67.17698562298614,10,STK010 Corp,High,Consumer,Retail,20230106,6,1,January,1,2023,5,Friday,False,False,152.41768370661663
105,2023-01-06,4801,STK011,BUY,78,78.0,5252.5,2023-01-06,2023-01-06,4801,Retail,94.76014695374532,11,STK011 Corp,Mid,Finance,Asset Management,20230106,6,1,January,1,2023,5,Friday,False,False,67.33973175885812
106,2023-01-06,474,STK012,BUY,192,192.0,5238.39,2023-01-06,2023-01-06,474,Retail,192.632113142746,12,STK012 Corp,High,Technology,Hardware,20230106,6,1,January,1,2023,5,Friday,False,False,27.283299029964628
110,2023-01-06,1964,STK016,BUY,74,74.0,5952.81,2023-01-06,2023-01-06,1964,Retail,149.88798448600113,16,STK016 Corp,Low,Energy,Renewables,20230106,6,1,January,1,2023,5,Friday,False,False,80.44342440034522
111,2023-01-06,4747,STK018,BUY,390,198.35,211540.33,2023-01-06,2023-01-06,4747,Retail,57.23133521042849,18,STK018 Corp,Mid,Technology,Software,20230106,6,1,January,1,2023,5,Friday,False,False,109.664183516836
112,2023-01-06,474,STK018,BUY,232,212.0,30680.48,2023-01-06,2023-01-06,474,Retail,192.632113142746,18,STK018 Corp,Mid,Technology,Software,20230106,6,1,January,1,2023,5,Friday,False,False,109.664183516836
113,2023-01-06,4747,STK018,SELL,56,190.44,205399.13,2023-01-06,2023-01-06,4747,Retail,57.23133521042849,18,STK018 Corp,Mid,Technology,Software,20230106,6,1,January,1,2023,5,Friday,False,False,109.664183516836
114,2023-01-06,2970,STK019,BUY,107,107.0,9465.59,2023-01-06,2023-01-06,2970,Retail,210.01163003296583,19,STK019 Corp,Mid,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,88.46344792890808
115,2023-01-06,1243,STK020,BUY,61,61.0,5923.33,2023-01-06,2023-01-06,1243,Retail,178.06006804903316,20,STK020 Corp,Mid,Energy,Oil & Gas,20230106,6,1,January,1,2023,5,Friday,False,False,97.10375741098042
116,2023-01-09,2614,STK003,BUY,77,77.0,871.4,2023-01-09,2023-01-09,2614,Retail,155.84203945948553,3,STK003 Corp,Low,Technology,Software,20230109,9,1,January,1,2023,1,Monday,False,False,11.316832167907863
117,2023-01-09,4747,STK006,BUY,76,184.42,214310.78,2023-01-09,2023-01-09,4747,Retail,57.23133521042849,6,STK006 Corp,High,Energy,Oil & Gas,20230109,9,1,January,1,2023,1,Monday,False,False,130.11487969859573
118,2023-01-09,4747,STK006,BUY,310,190.7,254646.39,2023-01-09,2023-01-09,4747,Retail,57.23133521042849,6,STK006 Corp,High,Energy,Oil & Gas,20230109,9,1,January,1,2023,1,Monday,False,False,130.11487969859573
119,2023-01-09,193,STK006,BUY,86,186.43,67765.94,2023-01-09,2023-01-09,193,Retail,144.2523545284706,6,STK006 Corp,High,Energy,Oil & Gas,20230109,9,1,January,1,2023,1,Monday,False,False,130.11487969859573
121,2023-01-09,3165,STK007,BUY,119,119.0,22011.28,2023-01-09,2023-01-09,3165,Retail,141.87197088743758,7,STK007 Corp,Mid,Energy,Oil & Gas,20230109,9,1,January,1,2023,1,Monday,False,False,184.9687529709984
122,2023-01-09,2096,STK008,BUY,1190,611.5,187935.04,2023-01-09,2023-01-09,2096,Institutional,156.470649645714,8,STK008 Corp,High,Energy,Oil & Gas,20230109,9,1,January,1,2023,1,Monday,False,False,154.96590461180088
123,2023-01-09,4747,STK009,BUY,1015,229.95,462735.85,2023-01-09,2023-01-09,4747,Retail,57.23133521042849,9,STK009 Corp,High,Technology,Hardware,20230109,9,1,January,1,2023,1,Monday,False,False,205.01424716573064
124,2023-01-09,3588,STK010,BUY,373,108.0,67556.17,2023-01-09,2023-01-09,3588,Retail,89.65649662061958,10,STK010 Corp,High,Consumer,Retail,20230109,9,1,January,1,2023,1,Monday,False,False,157.72224745480213
125,2023-01-09,2982,STK012,BUY,345,345.0,9433.95,2023-01-09,2023-01-09,2982,Institutional,177.9026553834196,12,STK012 Corp,High,Technology,Hardware,20230109,9,1,January,1,2023,1,Monday,False,False,27.344782608695656
126,2023-01-09,4747,STK013,SELL,59,222.18,453464.09,2023-01-09,2023-01-09,4747,Retail,57.23133521042849,13,STK013 Corp,Mid,Energy,Utilities,20230109,9,1,January,1,2023,1,Monday,False,False,157.1485046595915
127,2023-01-09,4955,STK013,SELL,343,238.5,189376.73,2023-01-09,2023-01-09,4955,Retail,171.5073063101831,13,STK013 Corp,Mid,Energy,Utilities,20230109,9,1,January,1,2023,1,Monday,False,False,157.1485046595915
128,2023-01-09,1513,STK018,BUY,41,109.33,77859.92,2023-01-09,2023-01-09,1513,Retail,67.17698562298614,18,STK018 Corp,Mid,Technology,Software,20230109,9,1,January,1,2023,1,Monday,False,False,106.83663334478032
129,2023-01-10,4700,STK006,BUY,213,213.0,29660.29,2023-01-10,2023-01-10,4700,Institutional,183.66694256756824,6,STK006 Corp,High,Energy,Oil & Gas,20230110,10,1,January,1,2023,2,Tuesday,False,False,139.25019189397148
130,2023-01-10,3232,STK006,BUY,214,214.0,29799.54,2023-01-10,2023-01-10,3232,Retail,113.64761656731744,6,STK006 Corp,High,Energy,Oil & Gas,20230110,10,1,January,1,2023,2,Tuesday,False,False,139.25019189397148
131,2023-01-10,4679,STK006,BUY,2350,2350.0,327237.95,2023-01-10,2023-01-10,4679,Retail,190.20497263884835,6,STK006 Corp,High,Energy,Oil & Gas,20230110,10,1,January,1,2023,2,Tuesday,False,False,139.25019189397148
132,2023-01-10,1157,STK008,BUY,1001,471.33,220894.19,2023-01-10,2023-01-10,1157,Retail,109.57514292131978,8,STK008 Corp,High,Energy,Oil & Gas,20230110,10,1,January,1,2023,2,Tuesday,False,False,157.69878333870227
133,2023-01-10,4955,STK012,BUY,16,218.27,198084.84,2023-01-10,2023-01-10,4955,Retail,171.5073063101831,12,STK012 Corp,High,Technology,Hardware,20230110,10,1,January,1,2023,2,Tuesday,False,False,26.319029939352017
134,2023-01-10,80,STK012,BUY,214,214.0,5632.27,2023-01-10,2023-01-10,80,Retail,122.06321874446976,12,STK012 Corp,High,Technology,Hardware,20230110,10,1,January,1,2023,2,Tuesday,False,False,26.319029939352017
