transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,cumulative_portfolio_value
67,2023-01-04,3938,STK018,BUY,257,166.5,66175.14
68,2023-01-04,1960,STK018,BUY,66,66.0,7001.56
69,2023-01-04,1712,STK018,BUY,52,52.0,5516.38
70,2023-01-04,1647,STK018,BUY,28,28.0,2970.36
71,2023-01-04,637,STK018,BUY,84,84.0,8911.08
72,2023-01-04,3588,STK019,BUY,48,56.33,8350.34
73,2023-01-05,193,STK004,BUY,65,234.2,45703.74
74,2023-01-05,3938,STK006,SELL,152,163.6,45148.3
75,2023-01-05,4629,STK006,BUY,404,404.0,51523.87
76,2023-01-05,1185,STK006,BUY,260,260.0,33158.92
77,2023-01-05,3849,STK006,BUY,146,146.0,18620.01
78,2023-01-05,3339,STK007,BUY,267,267.0,50469.23
79,2023-01-05,845,STK008,BUY,38,38.0,5914.43
80,2023-01-05,4747,STK012,BUY,30,186.08,140748.29
81,2023-01-05,4955,STK012,SELL,49,274.83,188920.3
82,2023-01-05,3588,STK012,SELL,83,63.0,5947.18
83,2023-01-05,4955,STK012,BUY,68,245.29,190804.36
84,2023-01-05,1494,STK012,BUY,498,498.0,13797.95
85,2023-01-05,3498,STK012,BUY,125,125.0,3463.34
86,2023-01-05,4747,STK012,BUY,240,190.23,147397.91
87,2023-01-05,4519,STK013,BUY,353,283.75,153981.42
88,2023-01-05,4747,STK018,BUY,86,182.79,156368.7
89,2023-01-05,2096,STK018,BUY,33,33.0,3442.28
90,2023-01-05,3119,STK018,BUY,235,235.0,24513.22
91,2023-01-05,3938,STK018,BUY,191,168.17,65071.82
92,2023-01-05,1407,STK018,BUY,60,60.0,6258.7
93,2023-01-05,4747,STK019,BUY,306,191.0,184730.93
94,2023-01-06,295,STK006,BUY,113,113.0,14165.31
95,2023-01-06,4629,STK006,SELL,175,289.5,28706.69
96,2023-01-06,4955,STK006,BUY,145,232.75,212516.47
97,2023-01-06,3588,STK006,BUY,23,55.0,8591.5
98,2023-01-06,1185,STK006,BUY,675,467.5,117208.55
99,2023-01-06,2034,STK006,BUY,99,99.0,12410.32
100,2023-01-06,4493,STK006,BUY,62,62.0,7772.12
101,2023-01-06,4716,STK009,SELL,83,83.0,0.0
102,2023-01-06,193,STK009,BUY,48,203.17,55703.93
103,2023-01-06,4955,STK010,BUY,180,226.89,239951.65
104,2023-01-06,1513,STK010,BUY,27,123.0,70805.06
105,2023-01-06,4801,STK011,BUY,78,78.0,5252.5
106,2023-01-06,474,STK012,BUY,192,192.0,5238.39
107,2023-01-06,1185,STK012,BUY,84,339.67,119500.35
108,2023-01-06,4747,STK013,SELL,117,186.38,168771.3
109,2023-01-06,1157,STK014,BUY,31,206.5,61699.64
110,2023-01-06,1964,STK016,BUY,74,74.0,5952.81
111,2023-01-06,4747,STK018,BUY,390,198.35,211540.33
112,2023-01-06,474,STK018,BUY,232,212.0,30680.48
113,2023-01-06,4747,STK018,SELL,56,190.44,205399.13
114,2023-01-06,2970,STK019,BUY,107,107.0,9465.59
115,2023-01-06,1243,STK020,BUY,61,61.0,5923.33
116,2023-01-09,2614,STK003,BUY,77,77.0,871.4
117,2023-01-09,4747,STK006,BUY,76,184.42,214310.78
118,2023-01-09,4747,STK006,BUY,310,190.7,254646.39
119,2023-01-09,193,STK006,BUY,86,186.43,67765.94
120,2023-01-09,868,STK006,BUY,222,222.0,28885.5
121,2023-01-09,3165,STK007,BUY,119,119.0,22011.28
122,2023-01-09,2096,STK008,BUY,1190,611.5,187935.04
123,2023-01-09,4747,STK009,BUY,1015,229.95,462735.85
124,2023-01-09,3588,STK010,BUY,373,108.0,67556.17
125,2023-01-09,2982,STK012,BUY,345,345.0,9433.95
126,2023-01-09,4747,STK013,SELL,59,222.18,453464.09
127,2023-01-09,4955,STK013,SELL,343,238.5,189376.73
128,2023-01-09,1513,STK018,BUY,41,109.33,77859.92
129,2023-01-10,4700,STK006,BUY,213,213.0,29660.29
130,2023-01-10,3232,STK006,BUY,214,214.0,29799.54
131,2023-01-10,4679,STK006,BUY,2350,2350.0,327237.95
132,2023-01-10,1157,STK008,BUY,1001,471.33,220894.19
133,2023-01-10,4955,STK012,BUY,16,218.27,198084.84
134,2023-01-10,80,STK012,BUY,214,214.0,5632.27
135,2023-01-10,2426,STK012,BUY,451,451.0,11869.88
136,2023-01-10,3588,STK013,BUY,27,96.43,71403.65
137,2023-01-10,1867,STK013,BUY,14,14.0,2202.33
138,2023-01-10,998,STK013,BUY,240,240.0,37754.3
139,2023-01-10,2871,STK017,BUY,53,53.0,9988.53
140,2023-01-11,4747,STK006,BUY,171,219.96,510801.26
141,2023-01-11,3938,STK006,SELL,51,151.43,58705.94
142,2023-01-11,4747,STK006,SELL,258,221.54,475533.62
143,2023-01-11,193,STK006,SELL,179,185.5,48442.32
144,2023-01-11,193,STK006,BUY,47,170.11,54867.05
145,2023-01-11,4629,STK006,BUY,239,272.67,63973.85
146,2023-01-11,2946,STK006,BUY,333,333.0,45519.86
147,2023-01-11,4528,STK008,BUY,185,185.0,29112.34
148,2023-01-11,4955,STK008,BUY,331,227.67,255981.04
149,2023-01-11,2871,STK012,BUY,8,30.5,10216.52
150,2023-01-11,4955,STK012,BUY,182,224.15,260701.89
151,2023-01-11,193,STK012,BUY,34,156.5,55748.96
152,2023-01-11,1185,STK013,BUY,100,279.75,145683.36
153,2023-01-11,4700,STK013,BUY,225,219.0,64426.68
154,2023-01-11,3516,STK016,BUY,16,16.0,1229.43
155,2023-01-11,563,STK018,BUY,71,71.0,7454.69
156,2023-01-11,193,STK018,BUY,181,158.73,74753.16
157,2023-01-11,4327,STK018,BUY,183,183.0,19214.19
158,2023-01-11,1513,STK018,BUY,66,103.14,88274.08
159,2023-01-12,2920,STK003,BUY,96,96.0,1069.3
160,2023-01-12,845,STK006,BUY,149,93.5,26991.25
161,2023-01-12,4240,STK006,BUY,428,428.0,60548.83
162,2023-01-12,3588,STK006,BUY,479,144.25,140487.07
163,2023-01-12,2426,STK006,BUY,693,572.0,109809.06
164,2023-01-12,4955,STK009,SELL,346,232.86,183343.66
165,2023-01-12,4023,STK009,BUY,62,75.0,28007.22
166,2023-01-12,1865,STK009,BUY,210,210.0,47132.32
167,2023-01-12,1438,STK009,BUY,152,152.0,34114.82
168,2023-01-12,4747,STK009,BUY,217,221.36,519246.35
169,2023-01-12,1006,STK010,BUY,459,459.0,73502.38
170,2023-01-12,3938,STK012,BUY,213,159.12,62103.17
171,2023-01-12,4955,STK012,SELL,266,235.07,176401.18
172,2023-01-12,583,STK012,BUY,2041,2041.0,53269.18
173,2023-01-12,3163,STK012,BUY,127,127.0,3314.64
174,2023-01-12,4747,STK012,BUY,95,216.5,521725.8
175,2023-01-12,3699,STK013,BUY,119,119.0,18450.88
176,2023-01-12,3938,STK017,BUY,258,170.11,110887.94
177,2023-01-12,4747,STK017,BUY,68,211.0,534583.8
178,2023-01-12,3772,STK017,BUY,118,118.0,22312.41
179,2023-01-12,227,STK018,BUY,87,68.0,15707.03
180,2023-01-12,4747,STK018,BUY,224,211.46,557177.01
181,2023-01-12,4081,STK018,BUY,104,104.0,10489.71
182,2023-01-12,4955,STK019,BUY,124,228.12,187097.56
183,2023-01-12,3938,STK020,BUY,45,157.6,115384.95
184,2023-01-13,1356,STK003,BUY,24,24.0,290.99
185,2023-01-13,4023,STK005,BUY,44,64.67,34013.19
186,2023-01-13,3812,STK005,BUY,96,96.0,12534.77
187,2023-01-13,193,STK006,BUY,173,159.92,100245.77
188,2023-01-13,3498,STK006,BUY,516,320.5,77942.82
189,2023-01-13,3588,STK006,BUY,75,136.56,154009.71
190,2023-01-13,4747,STK006,BUY,94,207.41,576182.79
191,2023-01-13,473,STK008,BUY,54,54.0,8447.95
192,2023-01-13,2352,STK009,BUY,189,238.5,84244.77
193,2023-01-13,4747,STK009,BUY,77,203.07,593546.06
194,2023-01-13,3588,STK010,SELL,105,133.4,136962.39
195,2023-01-13,4747,STK012,SELL,40,197.81,592469.83
196,2023-01-13,3339,STK012,BUY,229,248.0,52955.97
197,2023-01-13,4747,STK018,BUY,53,193.28,597879.79
198,2023-01-16,1422,STK006,BUY,257,257.0,36493.92
199,2023-01-16,2871,STK006,BUY,360,140.33,60875.56
200,2023-01-16,3069,STK006,BUY,43,43.0,6105.99
201,2023-01-16,366,STK006,BUY,99,99.0,14057.97
202,2023-01-16,2979,STK006,BUY,291,291.0,41321.91
203,2023-01-16,193,STK006,SELL,327,172.77,52727.93
204,2023-01-16,1816,STK008,BUY,147,122.0,36660.8
205,2023-01-16,4747,STK009,SELL,736,209.73,429185.94
206,2023-01-16,1794,STK009,BUY,94,94.0,20657.69
207,2023-01-16,443,STK009,BUY,452,452.0,99332.71
208,2023-01-16,4955,STK009,SELL,84,219.65,169123.38
209,2023-01-16,4747,STK010,BUY,22,204.21,432652.42
210,2023-01-16,193,STK010,BUY,428,191.0,120166.7
211,2023-01-16,3259,STK012,BUY,94,94.0,2655.68
212,2023-01-16,35,STK012,BUY,248,248.0,7006.46
213,2023-01-16,1157,STK012,BUY,83,374.25,222255.56
214,2023-01-16,4955,STK012,BUY,45,209.94,170394.71
215,2023-01-16,3588,STK012,BUY,241,143.18,141491.4
216,2023-01-16,719,STK012,BUY,147,147.0,4153.03
217,2023-01-16,366,STK013,BUY,287,193.0,60993.59
218,2023-01-16,4955,STK013,BUY,67,202.42,181351.81
219,2023-01-16,4955,STK016,BUY,136,199.1,192237.03
220,2023-01-16,2575,STK018,BUY,72,72.0,7546.97
221,2023-01-16,3322,STK018,BUY,238,238.0,24946.93
222,2023-01-16,2707,STK018,BUY,62,62.0,6498.78
223,2023-01-16,1094,STK020,BUY,18,420.5,118739.77
224,2023-01-16,3595,STK020,BUY,46,46.0,4789.14
225,2023-01-16,998,STK020,BUY,96,168.0,49244.02
226,2023-01-17,3588,STK006,SELL,274,154.08,98249.67
227,2023-01-17,193,STK006,BUY,115,185.93,134046.32
228,2023-01-17,474,STK006,BUY,126,183.33,46854.48
229,2023-01-17,3588,STK006,BUY,383,171.69,149530.74
230,2023-01-17,4747,STK006,SELL,114,201.63,419553.69
231,2023-01-17,4955,STK006,BUY,92,194.0,200365.28
232,2023-01-17,4955,STK006,SELL,576,211.36,123242.84
233,2023-01-17,3788,STK006,BUY,402,402.0,53825.04
234,2023-01-17,3784,STK007,BUY,147,147.0,26243.75
235,2023-01-17,60,STK007,BUY,206,206.0,36776.96
236,2023-01-17,474,STK008,BUY,1212,440.5,238394.81
237,2023-01-17,4697,STK009,BUY,80,80.0,17974.28
238,2023-01-17,366,STK010,BUY,375,253.67,117421.95
239,2023-01-17,1513,STK010,BUY,96,102.25,101349.01
240,2023-01-17,4452,STK010,BUY,124,124.0,18834.36
241,2023-01-17,2536,STK011,BUY,47,47.0,3216.96
242,2023-01-17,4023,STK012,BUY,377,142.75,43223.45
243,2023-01-17,781,STK012,BUY,70,70.0,1891.99
244,2023-01-17,4747,STK013,BUY,36,197.03,425475.22
245,2023-01-17,2074,STK014,BUY,35,35.0,4183.95
246,2023-01-17,1157,STK017,BUY,73,314.0,235412.65
247,2023-01-17,4747,STK018,BUY,132,195.27,439582.43
248,2023-01-17,203,STK018,BUY,57,57.0,6091.75
249,2023-01-17,570,STK018,BUY,309,309.0,33023.7
250,2023-01-17,4955,STK018,BUY,123,207.52,136388.2
251,2023-01-17,4747,STK018,SELL,170,194.61,421414.05
252,2023-01-17,4747,STK018,SELL,26,190.28,418635.36
253,2023-01-17,227,STK020,BUY,451,195.67,62269.45
254,2023-01-17,3938,STK020,SELL,45,147.36,112409.33
255,2023-01-18,182,STK005,BUY,260,380.33,141384.73
256,2023-01-18,4747,STK006,BUY,590,200.28,509957.71
257,2023-01-18,2920,STK006,BUY,159,127.5,23611.21
258,2023-01-18,2650,STK006,BUY,260,308.0,86926.02
259,2023-01-18,3938,STK006,BUY,512,177.75,187332.86
260,2023-01-18,4023,STK007,BUY,242,162.6,87266.34
261,2023-01-18,4747,STK009,BUY,116,198.22,536307.4
262,2023-01-18,4747,STK009,SELL,113,196.19,510639.17
263,2023-01-18,4955,STK009,SELL,39,200.5,130441.95
264,2023-01-18,4747,STK010,BUY,82,193.53,523668.6
265,2023-01-18,4132,STK012,BUY,572,572.0,15342.19
266,2023-01-18,3425,STK012,BUY,733,733.0,19660.53
267,2023-01-18,845,STK012,BUY,141,109.33,30851.68
268,2023-01-18,4747,STK012,BUY,129,192.07,527128.64
269,2023-01-18,4955,STK012,SELL,45,194.28,129234.96
270,2023-01-18,2140,STK012,BUY,514,514.0,13786.51
271,2023-01-18,4955,STK012,BUY,97,190.54,131836.7
272,2023-01-18,4747,STK013,SELL,61,189.16,517056.24
273,2023-01-18,368,STK013,BUY,99,99.0,16347.0
274,2023-01-18,4747,STK013,BUY,36,185.83,523000.61
275,2023-01-18,3938,STK013,BUY,40,167.15,193937.71
276,2023-01-18,3362,STK015,BUY,31,31.0,658.17
277,2023-01-18,4747,STK017,BUY,227,186.7,565077.82
278,2023-01-18,1513,STK018,SELL,94,101.33,96048.75
279,2023-01-18,4385,STK018,BUY,185,185.0,20380.33
280,2023-01-18,3588,STK018,BUY,69,164.36,164090.63
281,2023-01-18,4354,STK018,BUY,368,368.0,40540.33
282,2023-01-18,227,STK019,BUY,221,202.0,83662.62
283,2023-01-18,3938,STK019,BUY,623,199.71,255146.43
284,2023-01-19,1157,STK006,BUY,907,412.83,367545.83
285,2023-01-19,2461,STK006,BUY,81,81.0,11507.83
286,2023-01-19,182,STK008,BUY,911,513.0,287995.89
287,2023-01-19,4747,STK009,SELL,154,186.02,527346.98
288,2023-01-19,4716,STK009,BUY,510,225.33,116108.52
289,2023-01-19,4747,STK010,BUY,33,182.9,532658.6
290,2023-01-19,3960,STK010,BUY,203,203.0,32674.5
291,2023-01-19,4747,STK010,SELL,137,181.98,510607.33
292,2023-01-19,4955,STK012,SELL,97,187.07,128092.64
293,2023-01-19,1157,STK012,BUY,357,404.86,377270.94
294,2023-01-19,3252,STK012,BUY,39,39.0,1062.41
295,2023-01-19,4955,STK012,BUY,312,191.54,136591.89
296,2023-01-19,3588,STK012,SELL,31,155.47,164160.49
297,2023-01-19,4747,STK013,BUY,194,182.22,542903.86
298,2023-01-19,871,STK013,BUY,795,795.0,132349.17
299,2023-01-19,3275,STK013,BUY,30,30.0,4994.31
300,2023-01-19,3588,STK018,SELL,25,147.31,161540.12
301,2023-01-19,193,STK018,SELL,161,184.38,122081.83
302,2023-01-19,4955,STK019,SELL,124,189.21,124568.43
303,2023-01-19,3902,STK020,BUY,81,81.0,8171.3
304,2023-01-20,227,STK006,BUY,170,195.6,103088.45
305,2023-01-20,4300,STK006,BUY,349,349.0,47198.93
306,2023-01-20,2995,STK006,BUY,420,420.0,56801.01
307,2023-01-20,1494,STK006,BUY,437,467.5,73040.56
308,2023-01-20,1470,STK006,BUY,102,102.0,13794.53
309,2023-01-20,3853,STK007,BUY,45,45.0,8228.53
310,2023-01-20,4955,STK008,SELL,67,185.13,113725.05
311,2023-01-20,4914,STK008,BUY,38,38.0,5856.32
312,2023-01-20,182,STK009,BUY,474,505.2,387843.89
313,2023-01-20,4747,STK009,BUY,75,180.15,549984.56
314,2023-01-20,193,STK010,SELL,19,174.65,118262.3
315,2023-01-20,1090,STK010,BUY,416,416.0,67901.1
316,2023-01-20,2466,STK011,BUY,341,341.0,23588.97
317,2023-01-20,845,STK012,BUY,122,112.5,33369.28
318,2023-01-20,3938,STK012,BUY,137,195.53,251282.1
319,2023-01-20,4747,STK012,BUY,72,178.11,552000.05
320,2023-01-20,4697,STK013,BUY,336,208.0,73393.64
321,2023-01-20,2102,STK013,BUY,174,174.0,28780.55
322,2023-01-20,193,STK013,BUY,20,166.06,121570.41
323,2023-01-20,4747,STK013,BUY,4,174.89,552661.67
324,2023-01-20,193,STK013,BUY,212,168.47,156636.37
325,2023-01-20,845,STK017,BUY,141,118.2,59701.68
326,2023-01-20,4747,STK018,SELL,100,173.53,542095.62
327,2023-01-20,3588,STK018,SELL,44,141.24,152819.69
328,2023-01-20,1650,STK019,BUY,150,150.0,13995.19
329,2023-01-20,336,STK019,BUY,76,76.0,7090.89
330,2023-01-20,4644,STK019,BUY,90,90.0,8397.11
331,2023-01-23,4955,STK002,BUY,37,180.35,117876.85
332,2023-01-23,563,STK005,BUY,21,46.0,10665.52
333,2023-01-23,1157,STK006,SELL,161,374.38,346665.5
334,2023-01-23,3772,STK006,BUY,237,177.5,54952.58
335,2023-01-23,4747,STK006,BUY,155,173.2,559003.03
336,2023-01-23,366,STK006,BUY,28,197.25,125184.47
337,2023-01-23,873,STK006,BUY,50,50.0,6801.43
338,2023-01-23,4023,STK006,BUY,165,163.0,110540.69
339,2023-01-23,4747,STK006,BUY,43,170.91,564852.26
340,2023-01-23,2306,STK006,BUY,211,211.0,28702.02
341,2023-01-23,2779,STK006,BUY,274,274.0,37271.82
342,2023-01-23,193,STK006,BUY,315,175.8,198246.43
343,2023-01-23,3588,STK007,BUY,174,143.06,183811.44
344,2023-01-23,2783,STK008,BUY,695,695.0,106290.25
345,2023-01-23,182,STK009,SELL,216,457.0,338961.68
346,2023-01-23,4747,STK012,BUY,68,169.14,566703.05
347,2023-01-23,1113,STK012,BUY,32,32.0,870.96
348,2023-01-23,4757,STK013,BUY,56,56.0,9196.71
349,2023-01-23,2434,STK013,BUY,644,644.0,105762.17
350,2023-01-23,4747,STK018,BUY,132,168.51,580730.63
351,2023-01-23,2352,STK018,BUY,127,201.33,93966.58
352,2023-01-23,3759,STK020,BUY,243,243.0,22733.92
353,2023-01-24,3373,STK003,BUY,34,34.0,423.3
354,2023-01-24,3588,STK006,BUY,197,145.89,216104.81
355,2023-01-24,4700,STK006,SELL,213,217.0,37461.99
356,2023-01-24,3588,STK006,BUY,94,143.3,229300.64
357,2023-01-24,570,STK006,BUY,196,252.5,60545.54
358,2023-01-24,3498,STK006,BUY,187,276.0,102137.33
359,2023-01-24,3162,STK007,BUY,132,132.0,24666.66
360,2023-01-24,227,STK007,BUY,82,176.67,115730.95
361,2023-01-24,4980,STK009,BUY,90,90.0,18902.12
362,2023-01-24,1157,STK009,BUY,493,387.56,453093.04
363,2023-01-24,4519,STK010,BUY,71,241.2,171502.24
364,2023-01-24,4955,STK012,SELL,187,180.56,113362.79
365,2023-01-24,4023,STK012,SELL,377,193.57,102844.13
366,2023-01-24,377,STK012,BUY,526,526.0,14514.87
367,2023-01-24,1370,STK012,BUY,269,269.0,7423.0
368,2023-01-24,4700,STK012,BUY,295,236.5,45602.46
369,2023-01-24,1438,STK013,BUY,24,88.0,35919.52
370,2023-01-24,1513,STK013,BUY,393,130.5,161714.62
371,2023-01-24,1157,STK017,BUY,37,352.5,460206.26
372,2023-01-24,4747,STK018,SELL,70,166.87,568640.95
373,2023-01-24,1461,STK018,BUY,12,12.0,1282.75
374,2023-01-24,3938,STK020,BUY,276,200.56,273687.87
375,2023-01-25,4987,STK003,BUY,67,67.0,853.41
376,2023-01-25,2650,STK005,BUY,32,216.0,95330.57
377,2023-01-25,1094,STK006,BUY,771,537.33,235830.15
378,2023-01-25,3938,STK006,SELL,512,218.88,199807.04
379,2023-01-25,4955,STK006,BUY,264,183.09,152811.84
380,2023-01-25,4747,STK006,BUY,266,168.49,616017.2
381,2023-01-25,3588,STK006,SELL,104,141.43,221272.43
382,2023-01-25,4747,STK007,BUY,166,168.45,646967.04
383,2023-01-25,4747,STK007,SELL,166,168.41,616017.2
384,2023-01-25,4747,STK008,BUY,6,165.88,616909.54
385,2023-01-25,4747,STK010,BUY,206,166.49,651453.19
386,2023-01-25,1903,STK011,BUY,132,132.0,9123.27
387,2023-01-25,182,STK012,BUY,315,436.71,347059.94
388,2023-01-25,182,STK012,BUY,232,411.12,353544.84
389,2023-01-25,4747,STK013,SELL,44,164.64,643997.56
390,2023-01-25,3833,STK018,BUY,305,305.0,32681.92
391,2023-01-25,193,STK018,BUY,246,179.14,231890.99
392,2023-01-25,4747,STK018,SELL,11,162.34,642818.87
393,2023-01-25,193,STK018,BUY,185,179.41,251714.45
394,2023-01-25,3498,STK020,BUY,32,215.0,109722.66
395,2023-01-26,845,STK002,BUY,90,113.5,71840.6
396,2023-01-26,1412,STK003,BUY,130,130.0,1637.61
397,2023-01-26,1151,STK006,BUY,96,96.0,13198.63
398,2023-01-26,1778,STK006,BUY,81,81.0,11136.34
399,2023-01-26,4747,STK006,BUY,90,161.28,645194.87
400,2023-01-26,4033,STK006,BUY,272,272.0,37396.12
401,2023-01-26,3339,STK006,BUY,132,209.33,71647.0
402,2023-01-26,1157,STK006,BUY,57,325.64,468466.1
403,2023-01-26,2714,STK006,BUY,90,90.0,12373.72
404,2023-01-26,2480,STK009,BUY,141,141.0,30879.69
405,2023-01-26,4747,STK009,BUY,65,159.88,659430.18
406,2023-01-26,1743,STK009,BUY,36,36.0,7884.17
407,2023-01-26,2582,STK012,BUY,840,840.0,23686.1
408,2023-01-26,4747,STK012,SELL,104,159.09,656497.62
409,2023-01-26,3938,STK012,SELL,26,208.17,193037.84
410,2023-01-26,4955,STK012,SELL,125,181.38,146829.17
411,2023-01-26,3581,STK012,BUY,141,141.0,3975.88
412,2023-01-26,3372,STK013,BUY,159,136.5,29800.17
413,2023-01-26,3914,STK018,BUY,184,184.0,18888.85
414,2023-01-26,4747,STK018,BUY,165,159.17,673435.99
415,2023-01-26,4519,STK019,BUY,37,207.17,172073.81
416,2023-01-26,2457,STK019,BUY,379,379.0,28355.78
417,2023-01-26,2321,STK020,BUY,37,37.0,3369.99
418,2023-01-27,3588,STK006,BUY,383,152.41,267786.06
419,2023-01-27,2594,STK006,BUY,94,94.0,13046.43
420,2023-01-27,4747,STK006,SELL,155,159.11,670967.35
421,2023-01-27,3588,STK006,BUY,378,162.22,320249.36
422,2023-01-27,4747,STK006,SELL,49,157.6,664166.55
423,2023-01-27,4955,STK006,BUY,298,184.71,189333.55
424,2023-01-27,1497,STK007,BUY,102,102.0,18238.0
425,2023-01-27,3938,STK008,BUY,784,238.47,308557.91
426,2023-01-27,4980,STK009,BUY,48,69.0,32116.14
427,2023-01-27,3938,STK009,BUY,297,241.4,377677.43
428,2023-01-27,1157,STK010,SELL,149,310.92,451369.89
429,2023-01-27,4747,STK012,SELL,139,157.35,660279.0
430,2023-01-27,3482,STK012,BUY,42,42.0,1174.66
431,2023-01-27,4955,STK013,SELL,55,181.11,180088.99
432,2023-01-27,4519,STK014,BUY,106,192.71,186122.42
433,2023-01-27,193,STK018,BUY,49,173.74,257859.01
434,2023-01-27,3588,STK018,BUY,127,160.75,333468.4
435,2023-01-27,4788,STK020,BUY,138,138.0,12420.63
436,2023-01-27,1273,STK020,BUY,325,325.0,29251.49
437,2023-01-30,4955,STK006,SELL,162,180.59,156102.41
438,2023-01-30,336,STK008,BUY,83,79.5,17497.75
439,2023-01-30,1903,STK008,BUY,41,86.5,14935.86
440,2023-01-30,182,STK009,BUY,19,367.56,361122.88
441,2023-01-30,4955,STK009,BUY,180,180.58,200203.41
442,2023-01-30,3588,STK009,BUY,100,158.32,357677.77
443,2023-01-30,3938,STK009,BUY,195,239.19,429073.27
444,2023-01-30,474,STK010,BUY,679,488.2,342714.31
445,2023-01-30,1513,STK010,BUY,122,129.73,184387.05
446,2023-01-30,3588,STK012,BUY,249,161.81,364700.69
447,2023-01-30,4747,STK012,BUY,50,155.92,677763.52
448,2023-01-30,3914,STK012,BUY,237,210.5,26741.56
449,2023-01-30,193,STK016,BUY,9,166.88,263299.74
450,2023-01-30,1513,STK017,BUY,73,125.0,198237.92
451,2023-01-30,4747,STK017,SELL,150,155.84,649302.83
